23.416	16.914
22.532	16.905
21.108	15.073
23.735	17.964
22.992	13.947
23.859	15.543
24.939	17.530
22.290	15.044
24.650	15.747
24.086	16.354
22.156	19.759
22.757	16.740
19.935	18.652
22.372	17.773
20.924	14.501
22.251	15.329
20.564	19.209
20.817	15.441
21.831	18.878
20.707	19.235
20.341	18.482
23.435	19.506
25.176	17.885
25.500	15.628
26.115	15.914
24.748	17.635
26.148	17.999
25.744	18.696
24.850	17.148
26.516	17.792
26.334	18.084
26.244	16.863
25.745	18.873
25.730	16.140
24.965	14.020
24.755	15.791
27.921	14.283
25.900	16.299
25.885	16.832
26.351	16.220
25.503	17.338
25.070	17.307
25.385	17.998
25.951	17.613
24.200	14.366
26.073	14.846
24.860	15.664
25.592	14.807
23.380	14.464
25.855	16.104
24.779	16.102
23.607	15.654
23.021	17.090
24.774	15.059
24.850	15.378
24.558	15.790
22.684	15.547
24.688	15.364
23.982	15.744
24.968	13.877
24.396	17.247
23.166	15.357
26.914	16.844
22.873	19.525
20.859	17.298
20.584	19.883
19.650	24.544
21.160	23.343
22.636	18.468
20.327	17.099
20.903	18.864
20.512	19.976
19.184	20.251
21.082	17.732
20.189	19.540
21.147	19.687
21.325	19.713
21.743	19.970
20.765	23.480
19.533	22.709
20.679	23.803
16.755	24.286
20.965	26.008
17.639	25.572
18.307	22.935
17.541	20.710
19.596	19.838
19.931	18.353
20.688	17.276
20.384	14.432
19.518	18.686
18.335	18.429
17.983	21.509
18.522	16.174
18.314	17.330
21.225	16.212
20.122	18.572
20.053	21.648
15.995	18.588
13.871	21.889
13.222	20.647
16.513	18.034
12.695	21.402
14.649	21.921
13.489	19.769
12.062	23.414
14.683	22.686
10.896	21.909
10.800	25.005
12.464	19.137
6.805	20.803
6.992	16.841
-2.247	21.887
2.203	17.714
0.691	13.066
2.852	19.038
6.166	19.918
8.570	18.702
12.160	16.755
8.729	15.958
7.063	6.935
8.490	8.666
7.686	7.611
11.667	0.270
4.245	-3.503
-1.203	0.626
-1.670	8.837
5.874	5.358
-3.303	6.407
-9.222	-3.178
-7.435	-5.267
-10.725	-1.410
5.254	0.349
3.174	3.502
3.778	4.319
8.421	7.116
2.821	9.859
3.681	7.782
-2.354	-2.752
3.515	3.872
0.349	1.202
-0.887	0.938
-0.044	-2.268
-6.010	3.688
4.389	0.716
9.309	3.660
7.261	4.074
7.015	0.544
9.900	1.988
11.204	-0.194
9.597	-2.547
10.247	-4.773
9.665	-3.372
10.253	-3.862
10.066	-2.891
9.119	3.736
1.199	1.158
8.323	-2.016
4.166	-6.566
4.312	-6.049
1.915	-6.252
10.926	-2.297
11.979	3.422
5.915	-2.318
4.591	-8.416
7.254	-4.749
7.833	-4.977
2.286	-1.538
10.070	-4.286
5.283	-6.687
-4.293	-10.408
1.760	-9.575
5.194	-7.532
-3.601	-4.520
2.344	-7.233
1.946	-5.957
0.637	-7.667
0.893	-12.477
-10.746	-10.822
-3.677	-10.048
-2.023	-12.875
-10.814	-8.704
-4.010	-11.500
